Date,Region,Product_Category,Price,Quantity,Customer_Age,Satisfaction_Score,Product_Return,Revenue
2020-08-11,South,Furniture,296.42,17,40,5,0,5039.14
2020-08-13,North,Food,295.95,7,56,3,0,2071.65
2020-08-17,East,Clothing,319.91,13,29,5,0,4158.83
2020-08-18,West,Furniture,381.34,19,43,3,0,7245.459999999999
2020-08-18,East,Furniture,277.02,3,63,3,0,831.06
2020-08-22,North,Food,358.45,15,49,3,0,5376.75
2020-08-23,East,Furniture,206.52,17,49,3,0,3510.84
2020-08-29,West,Furniture,346.55,15,57,2,0,5198.25
2020-09-02,West,Clothing,284.84,16,50,1,0,4557.44
2020-09-03,South,Food,172.44,5,30,5,0,862.2
2020-09-03,North,Food,410.44,7,22,4,0,2873.08
2020-09-06,South,Furniture,330.98,11,49,1,0,3640.78
2020-09-09,North,Clothing,56.53,8,29,4,0,452.24
2020-09-09,West,Food,139.62,5,55,3,0,698.1
2020-09-10,South,Furniture,349.33,12,60,2,0,4191.96
2020-09-10,North,Electronics,309.91,17,25,5,0,5268.47
2020-09-12,East,Clothing,455.18,12,69,1,0,5462.16
2020-09-14,East,Furniture,133.84,17,30,1,0,2275.28
2020-09-19,East,Food,233.47,2,18,2,0,466.94
2020-09-20,South,Food,37.28,19,21,2,0,708.32
2020-09-21,West,Electronics,74.31,3,56,2,0,222.93
2020-09-24,West,Furniture,43.44,16,41,5,0,695.04
2020-09-25,East,Food,201.01,18,55,3,0,3618.18
2020-09-26,North,Furniture,156.23,7,19,2,0,1093.61
2020-10-03,East,Electronics,216.96,18,45,2,0,3905.28
2020-10-05,West,Food,317.5,4,57,3,0,1270.0
2020-10-06,North,Electronics,72.0,10,19,1,0,720.0
2020-10-06,South,Clothing,65.14,2,62,2,0,130.28
2020-10-10,North,Electronics,17.97,19,50,3,0,341.42999999999995
2020-10-11,North,Electronics,403.43,1,39,3,0,403.43
2020-10-15,South,Furniture,38.75,8,25,2,0,310.0
2020-10-20,South,Electronics,124.14,19,20,4,0,2358.66
2020-10-22,North,Food,108.21,9,37,4,0,973.89
2020-10-28,West,Electronics,478.52,9,56,4,0,4306.68
2020-10-31,South,Clothing,262.1,12,61,2,0,3145.2000000000003
2020-11-09,North,Furniture,86.53,11,52,5,0,951.83
2020-11-11,West,Electronics,479.02,4,18,4,0,1916.08
2020-11-13,West,Electronics,341.71,14,32,5,0,4783.94
2020-11-16,East,Clothing,355.38,1,31,2,0,355.38
2020-11-26,South,Clothing,295.37,3,36,2,0,886.11
2020-12-01,West,Electronics,395.28,16,34,2,0,6324.48
2020-12-03,South,Electronics,193.41,18,43,4,0,3481.38
2020-12-03,North,Furniture,37.1,14,32,4,0,519.4
2020-12-03,West,Furniture,297.22,16,59,1,0,4755.52
2020-12-04,East,Food,340.94,9,37,1,0,3068.46
2020-12-06,East,Electronics,421.52,19,51,1,0,8008.879999999999
2020-12-09,North,Furniture,198.5,17,65,5,0,3374.5
2020-12-11,West,Electronics,364.6,7,34,5,0,2552.2000000000003
2020-12-13,North,Food,188.73,17,52,1,0,3208.41
2020-12-22,North,Electronics,165.93,2,39,5,0,331.86
2020-12-23,North,Furniture,197.79,3,60,4,0,593.37
2021-01-04,North,Clothing,457.97,16,32,3,0,7327.52
2021-01-07,North,Electronics,81.3,8,38,2,0,650.4
2021-01-08,East,Electronics,490.59,11,47,1,0,5396.49
2021-01-13,North,Food,17.78,1,32,5,0,17.78
2021-01-14,West,Food,204.48,9,60,3,0,1840.32
2021-01-14,North,Food,193.3,19,63,5,0,3672.7000000000003
2021-01-19,East,Food,104.23,4,23,3,0,416.92
2021-01-19,West,Furniture,484.4,11,23,2,0,5328.4
2021-01-20,East,Electronics,72.54,8,28,2,0,580.32
2021-01-21,South,Clothing,293.19,7,31,3,0,2052.33
2021-01-22,East,Food,34.77,12,24,1,0,417.24
2021-01-23,East,Food,37.67,3,33,3,0,113.01
2021-01-24,West,Electronics,273.8,10,38,1,0,2738.0
2021-01-26,East,Electronics,202.34,6,34,1,0,1214.04
2021-01-27,North,Electronics,313.83,15,61,4,0,4707.45
2021-01-30,North,Furniture,58.47,4,35,1,0,233.88
2021-01-30,West,Electronics,130.92,17,32,5,0,2225.64
2021-01-31,East,Clothing,13.91,14,66,5,0,194.74
2021-01-31,East,Electronics,302.32,1,19,2,0,302.32
2021-02-01,East,Electronics,496.44,5,40,2,0,2482.2
2021-02-01,West,Furniture,43.14,16,69,1,0,690.24
2021-02-01,South,Clothing,407.92,8,57,4,0,3263.36
2021-02-03,South,Furniture,231.86,4,51,1,0,927.44
2021-02-04,East,Food,308.41,4,20,4,0,1233.64
2021-02-04,East,Furniture,222.9,5,51,1,0,1114.5
2021-02-04,North,Clothing,474.11,16,48,1,0,7585.76
2021-02-05,North,Electronics,155.05,12,30,4,0,1860.6000000000001
2021-02-06,East,Electronics,469.01,9,69,3,0,4221.09
2021-02-07,South,Electronics,78.7,5,34,5,0,393.5
2021-02-08,West,Furniture,59.09,7,69,1,0,413.63
2021-02-10,North,Electronics,80.25,2,28,3,0,160.5
2021-02-11,North,Electronics,129.23,4,61,4,0,516.92
2021-02-16,South,Food,96.74,14,52,2,1,1354.36
2021-02-21,West,Furniture,152.13,6,31,2,0,912.78
2021-02-22,West,Clothing,186.93,12,48,1,0,2243.16
2021-03-07,South,Furniture,179.43,1,64,3,0,179.43
2021-03-13,North,Electronics,207.9,6,57,3,0,1247.4
2021-03-13,East,Clothing,423.73,3,69,5,0,1271.19
2021-03-17,East,Food,156.13,1,39,4,1,156.13
2021-03-17,South,Clothing,96.67,6,26,1,0,580.02
2021-03-19,North,Clothing,492.57,3,37,5,0,1477.71
2021-03-20,North,Clothing,184.12,10,60,1,0,1841.2
2021-03-20,East,Electronics,151.05,10,40,1,0,1510.5
2021-03-24,West,Food,340.03,13,21,1,0,4420.389999999999
2021-03-25,East,Clothing,269.03,13,37,2,0,3497.3899999999994
2021-03-28,West,Clothing,177.23,6,47,1,0,1063.3799999999999
2021-03-28,South,Furniture,261.45,6,38,4,0,1568.6999999999998
2021-03-28,South,Clothing,180.92,13,43,5,1,2351.96
2021-03-30,East,Clothing,142.02,13,62,3,1,1846.2600000000002
2021-03-31,North,Food,302.29,15,28,3,0,4534.35
2021-03-31,South,Electronics,412.1,7,59,1,0,2884.7000000000003
2021-04-01,West,Clothing,182.56,18,51,4,0,3286.08
2021-04-01,North,Electronics,36.5,7,61,2,0,255.5
2021-04-04,West,Food,48.86,8,32,5,0,390.88
2021-04-04,East,Furniture,347.76,15,22,2,0,5216.4
2021-04-05,West,Clothing,440.76,12,32,1,0,5289.12
2021-04-08,East,Furniture,365.6,1,20,3,0,365.6
2021-04-11,West,Electronics,313.81,2,38,4,0,627.62
2021-04-14,East,Food,301.12,2,50,2,0,602.24
2021-04-15,South,Furniture,160.41,13,25,2,0,2085.33
2021-04-15,South,Food,473.12,1,59,3,0,473.12
2021-04-17,West,Clothing,346.0,13,69,3,0,4498.0
2021-04-18,North,Furniture,312.36,4,38,2,0,1249.44
2021-04-19,North,Food,44.31,2,59,4,0,88.62
2021-04-20,West,Electronics,424.25,15,37,4,0,6363.75
2021-04-20,South,Electronics,400.2,17,31,2,0,6803.4
2021-04-21,West,Furniture,365.33,15,52,1,1,5479.95
2021-04-29,South,Electronics,14.5,4,53,5,0,58.0
2021-05-02,North,Electronics,85.31,7,69,5,0,597.1700000000001
2021-05-02,South,Food,150.84,18,59,5,0,2715.12
2021-05-03,North,Food,255.4,10,39,3,0,2554.0
2021-05-04,South,Clothing,366.76,6,18,3,0,2200.56
2021-05-06,South,Food,320.02,17,20,4,0,5440.34
2021-05-07,North,Clothing,90.89,6,24,4,0,545.34
2021-05-11,East,Furniture,454.06,10,34,3,0,4540.6
2021-05-11,West,Food,330.19,2,36,2,0,660.38
2021-05-13,West,Food,144.35,8,64,5,0,1154.8
2021-05-14,North,Clothing,457.08,15,59,1,0,6856.2
2021-05-16,West,Clothing,73.9,13,24,4,0,960.7
2021-05-17,West,Food,326.85,6,63,4,0,1961.1000000000001
2021-05-17,East,Furniture,257.16,15,20,3,0,3857.4000000000005
2021-05-19,North,Electronics,354.27,1,65,1,0,354.27
2021-05-23,South,Electronics,202.66,1,37,5,0,202.66
2021-05-24,North,Electronics,180.97,13,38,2,0,2352.61
2021-05-25,South,Electronics,437.48,15,26,2,0,6562.200000000001
2021-05-25,South,Furniture,478.24,13,55,2,0,6217.12
2021-05-25,North,Clothing,447.62,2,55,1,0,895.24
2021-05-26,North,Electronics,45.45,2,42,4,1,90.9
2021-05-27,West,Electronics,483.73,5,39,2,0,2418.65
2021-05-30,East,Electronics,469.46,14,25,1,0,6572.44
2021-06-01,West,Furniture,222.38,7,32,3,1,1556.6599999999999
2021-06-01,East,Clothing,366.11,16,41,4,0,5857.76
2021-06-04,West,Clothing,412.13,13,44,3,1,5357.69
2021-06-05,South,Clothing,91.57,17,64,2,0,1556.6899999999998
2021-06-08,West,Clothing,426.05,18,44,5,0,7668.900000000001
2021-06-08,North,Clothing,488.06,13,41,3,0,6344.78
2021-06-21,West,Food,79.87,15,21,5,1,1198.0500000000002
2021-06-23,East,Electronics,174.51,16,54,1,0,2792.16
2021-06-24,East,Furniture,11.0,1,35,3,0,11.0
2021-06-30,North,Clothing,437.0,5,67,5,0,2185.0
2021-07-04,West,Clothing,273.41,8,62,5,0,2187.28
2021-07-04,East,Food,238.29,10,48,2,0,2382.9
2021-07-10,West,Clothing,53.55,15,49,3,0,803.25
2021-07-13,West,Clothing,441.55,17,27,1,0,7506.35
2021-07-16,South,Clothing,272.31,18,28,3,0,4901.58
2021-07-16,West,Furniture,63.58,9,60,3,0,572.22
2021-07-17,East,Furniture,91.18,6,29,2,0,547.08
2021-07-17,East,Electronics,385.81,11,66,1,0,4243.91
2021-07-18,West,Electronics,52.85,19,39,4,0,1004.15
2021-07-19,South,Electronics,268.55,15,30,4,0,4028.25
2021-07-19,North,Electronics,68.22,4,55,4,0,272.88
2021-07-22,South,Clothing,310.45,9,22,3,0,2794.0499999999997
2021-07-23,South,Electronics,208.49,7,69,1,0,1459.43
2021-07-23,North,Furniture,168.46,10,29,2,0,1684.6000000000001
2021-07-28,South,Food,30.72,3,44,3,0,92.16
2021-07-31,South,Clothing,229.92,2,45,3,0,459.84
2021-08-03,West,Furniture,367.09,10,62,3,0,3670.8999999999996
2021-08-09,South,Food,362.43,4,46,5,1,1449.72
2021-08-10,North,Electronics,412.78,14,27,5,0,5778.92
2021-08-15,West,Electronics,253.77,3,59,5,0,761.3100000000001
2021-08-18,South,Food,246.4,14,45,5,0,3449.6
2021-08-23,South,Food,283.34,4,21,2,0,1133.36
2021-08-27,West,Clothing,11.14,18,35,2,0,200.52
2021-08-29,South,Food,33.24,11,34,1,0,365.64000000000004
2021-08-31,North,Furniture,459.87,13,23,2,0,5978.31
2021-09-04,North,Furniture,387.15,18,29,4,0,6968.7
2021-09-04,North,Electronics,75.41,12,27,3,0,904.92
2021-09-08,North,Furniture,372.88,4,24,5,0,1491.52
2021-09-15,South,Furniture,40.8,3,60,1,1,122.39999999999999
2021-09-15,West,Clothing,495.95,17,41,1,1,8431.15
2021-09-17,South,Electronics,333.58,7,53,1,0,2335.06
2021-09-19,East,Electronics,331.38,15,65,4,1,4970.7
2021-09-19,North,Clothing,227.06,9,67,4,0,2043.54
2021-09-24,West,Clothing,320.41,4,42,2,0,1281.64
2021-09-25,West,Furniture,376.83,14,49,3,0,5275.62
2021-09-25,South,Food,140.99,17,49,1,0,2396.83
2021-09-25,South,Clothing,255.08,6,52,1,0,1530.48
2021-09-27,West,Food,268.85,9,63,2,0,2419.65
2021-10-01,East,Clothing,77.99,1,33,1,0,77.99
2021-10-02,South,Furniture,152.29,3,66,1,0,456.87
2021-10-03,South,Food,65.09,1,57,1,0,65.09
2021-10-04,South,Furniture,155.12,4,69,3,0,620.48
2021-10-07,South,Food,165.71,8,27,3,0,1325.68
2021-10-08,North,Electronics,497.1,1,58,1,0,497.1
2021-10-09,East,Food,461.76,9,26,3,0,4155.84
2021-10-10,West,Food,258.55,9,32,1,1,2326.9500000000003
2021-10-14,West,Clothing,217.82,16,51,3,0,3485.12
2021-10-15,East,Food,244.92,19,20,1,0,4653.48
2021-10-17,South,Clothing,399.97,1,69,2,0,399.97
2021-10-17,South,Furniture,478.18,17,32,5,0,8129.06
2021-10-18,East,Clothing,161.8,15,42,3,0,2427.0
2021-10-19,South,Furniture,305.91,5,26,1,0,1529.5500000000002
2021-10-20,East,Furniture,133.35,15,23,3,0,2000.25
2021-10-21,North,Electronics,92.83,17,48,4,0,1578.11
2021-10-24,East,Food,218.06,18,30,4,0,3925.08
2021-10-25,West,Furniture,40.27,9,26,1,0,362.43
2021-10-29,South,Clothing,273.0,14,53,2,0,3822.0
2021-11-02,East,Electronics,40.5,12,29,1,0,486.0
2021-11-04,East,Clothing,384.23,10,19,5,0,3842.3
2021-11-06,West,Furniture,417.66,11,33,4,0,4594.26
2021-11-06,East,Food,428.57,6,49,2,0,2571.42
2021-11-07,East,Clothing,14.46,1,40,2,0,14.46
2021-11-12,East,Clothing,439.53,19,64,5,0,8351.07
2021-11-12,East,Clothing,422.96,13,63,4,0,5498.48
2021-11-14,East,Furniture,497.46,3,51,1,0,1492.3799999999999
2021-11-14,West,Clothing,40.68,5,49,3,0,203.4
2021-11-15,North,Electronics,362.79,8,48,3,0,2902.32
2021-11-15,North,Clothing,173.6,19,19,2,0,3298.4
2021-11-15,North,Furniture,109.3,14,26,2,0,1530.2
2021-11-16,East,Furniture,450.42,1,34,3,1,450.42
2021-11-17,South,Clothing,401.18,6,35,2,0,2407.08
2021-11-18,South,Furniture,219.84,15,49,5,0,3297.6
2021-11-19,South,Clothing,490.47,6,53,5,0,2942.82
2021-11-20,West,Clothing,432.96,4,23,2,0,1731.84
2021-11-21,West,Furniture,214.16,9,25,2,0,1927.44
2021-11-27,West,Furniture,182.11,15,47,5,0,2731.65
2021-11-28,West,Electronics,133.37,9,46,5,0,1200.33
2021-11-29,West,Clothing,314.21,13,21,4,0,4084.7299999999996
2021-11-29,West,Clothing,373.08,6,48,2,0,2238.48
2021-11-30,West,Electronics,117.19,12,28,2,0,1406.28
2021-11-30,East,Food,134.54,17,36,2,0,2287.18
2021-12-03,North,Furniture,22.9,19,47,5,0,435.09999999999997
2021-12-04,East,Food,445.68,16,62,3,0,7130.88
2021-12-09,North,Food,362.46,10,46,2,0,3624.6
2021-12-09,North,Electronics,447.08,15,26,5,0,6706.2
2021-12-10,East,Furniture,261.61,15,34,5,0,3924.15
2021-12-14,East,Food,241.04,5,28,2,0,1205.2
2021-12-14,North,Furniture,281.53,18,64,5,1,5067.539999999999
2021-12-17,North,Electronics,478.94,8,59,3,0,3831.52
2021-12-18,East,Food,169.02,19,25,4,0,3211.38
2021-12-20,East,Clothing,62.6,9,46,5,1,563.4
2021-12-26,East,Food,33.6,3,37,2,1,100.80000000000001
2021-12-27,West,Clothing,353.32,3,37,2,0,1059.96
2021-12-27,North,Clothing,274.99,16,36,4,0,4399.84
2021-12-29,East,Electronics,398.32,14,36,2,0,5576.48
2021-12-29,North,Furniture,327.85,6,49,5,0,1967.1000000000001
2021-12-30,South,Furniture,375.3,3,21,1,0,1125.9
2021-12-30,North,Electronics,135.24,5,30,1,0,676.2
2022-01-01,North,Food,138.77,4,47,3,0,555.08
2022-01-01,East,Furniture,313.59,7,53,4,0,2195.1299999999997
2022-01-02,West,Clothing,454.27,9,57,1,0,4088.43
2022-01-04,West,Furniture,243.61,3,24,3,1,730.83
2022-01-05,West,Furniture,492.09,13,57,2,0,6397.17
2022-01-08,North,Clothing,61.89,5,34,5,0,309.45
2022-01-09,North,Food,176.9,5,31,3,0,884.5
2022-01-10,South,Clothing,96.19,14,65,5,0,1346.6599999999999
2022-01-12,North,Clothing,414.63,16,56,5,0,6634.08
2022-01-17,West,Electronics,363.55,18,67,1,0,6543.900000000001
2022-01-18,West,Food,72.87,9,39,4,0,655.83
2022-01-19,North,Food,466.89,3,25,2,0,1400.67
2022-01-20,South,Electronics,158.14,13,54,3,0,2055.8199999999997
2022-01-21,East,Furniture,286.84,9,64,3,0,2581.56
2022-01-21,West,Clothing,431.38,2,25,4,0,862.76
2022-01-23,North,Electronics,338.12,15,62,1,0,5071.8
2022-01-23,South,Electronics,437.01,11,22,4,0,4807.11
2022-01-28,West,Electronics,61.48,3,67,2,0,184.44
2022-01-30,North,Furniture,497.74,9,52,3,0,4479.66
2022-01-31,North,Clothing,348.6,4,32,4,0,1394.4
2022-02-01,West,Electronics,405.08,11,56,1,0,4455.88
2022-02-02,North,Clothing,155.82,16,33,5,0,2493.12
2022-02-02,North,Clothing,274.79,18,46,3,0,4946.22
2022-02-02,West,Electronics,229.73,9,52,3,0,2067.5699999999997
2022-02-05,North,Clothing,471.82,12,45,5,0,5661.84
2022-02-05,North,Food,477.78,6,41,3,0,2866.68
2022-02-05,South,Food,498.36,17,54,4,0,8472.12
2022-02-07,West,Furniture,21.43,4,52,5,0,85.72
2022-02-08,West,Furniture,119.81,19,37,3,0,2276.39
2022-02-09,East,Furniture,442.32,6,21,2,0,2653.92
2022-02-09,North,Clothing,48.86,3,19,2,0,146.57999999999998
2022-02-12,West,Clothing,193.31,11,20,5,0,2126.41
2022-02-14,North,Furniture,80.45,10,67,4,0,804.5
2022-02-14,West,Furniture,124.74,16,67,4,0,1995.84
2022-02-15,West,Electronics,104.46,19,29,1,0,1984.7399999999998
2022-02-18,East,Furniture,57.3,10,59,3,0,573.0
2022-02-22,East,Furniture,147.76,15,29,2,0,2216.3999999999996
2022-02-23,North,Furniture,131.98,17,35,5,0,2243.66
2022-02-28,North,Food,97.77,6,55,2,1,586.62
2022-03-01,North,Clothing,80.29,10,40,4,1,802.9000000000001
2022-03-02,South,Furniture,384.2,6,34,1,0,2305.2
2022-03-02,West,Electronics,403.93,4,37,4,0,1615.72
2022-03-05,East,Clothing,212.38,19,22,4,0,4035.22
2022-03-05,West,Electronics,156.6,10,57,5,0,1566.0
2022-03-05,East,Electronics,433.46,3,64,3,0,1300.3799999999999
2022-03-06,North,Clothing,369.99,9,57,3,0,3329.91
2022-03-08,South,Clothing,396.3,8,53,3,1,3170.4
2022-03-08,East,Food,184.31,6,48,5,0,1105.8600000000001
2022-03-11,West,Food,251.64,19,50,2,0,4781.16
2022-03-12,North,Food,492.13,5,40,2,0,2460.65
2022-03-12,West,Food,419.34,7,59,2,0,2935.3799999999997
2022-03-15,South,Electronics,232.6,14,24,5,0,3256.4
2022-03-16,West,Furniture,493.95,4,41,3,0,1975.8
2022-03-25,North,Electronics,159.05,9,35,1,0,1431.45
2022-03-26,East,Electronics,479.25,11,33,1,0,5271.75
2022-03-26,North,Furniture,470.64,4,40,5,0,1882.56
2022-03-26,East,Food,170.45,14,64,5,0,2386.2999999999997
2022-03-26,South,Furniture,201.51,9,53,3,0,1813.59
2022-04-01,North,Clothing,282.93,10,69,2,0,2829.3
2022-04-02,East,Furniture,427.71,10,64,1,0,4277.099999999999
2022-04-02,South,Clothing,290.91,14,38,5,0,4072.7400000000002
2022-04-03,North,Food,69.67,16,23,1,1,1114.72
2022-04-03,East,Clothing,75.58,15,28,1,1,1133.7
2022-04-05,North,Furniture,451.93,14,32,2,0,6327.02
2022-04-06,East,Clothing,290.75,15,69,4,0,4361.25
2022-04-07,North,Clothing,282.81,17,26,2,1,4807.77
2022-04-08,East,Electronics,429.49,13,63,1,1,5583.37
2022-04-10,South,Electronics,453.54,4,41,5,0,1814.16
2022-04-11,West,Clothing,268.81,6,22,2,0,1612.8600000000001
2022-04-13,East,Food,208.82,1,57,4,0,208.82
2022-04-15,East,Food,464.4,18,49,2,0,8359.199999999999
2022-04-17,West,Electronics,440.39,5,51,4,0,2201.95
2022-04-20,East,Food,281.1,19,39,2,0,5340.900000000001
2022-04-28,West,Clothing,272.65,1,23,4,0,272.65
2022-04-30,South,Furniture,143.94,1,56,3,1,143.94
2022-05-01,East,Furniture,226.29,15,31,5,0,3394.35
2022-05-02,South,Food,382.09,19,46,1,0,7259.709999999999
2022-05-03,East,Furniture,282.28,2,36,4,0,564.56
2022-05-03,South,Clothing,35.83,6,20,3,0,214.98
2022-05-04,East,Furniture,323.73,11,34,3,0,3561.03
2022-05-06,South,Electronics,291.3,12,21,5,0,3495.6000000000004
2022-05-10,East,Food,429.8,11,46,1,0,4727.8
2022-05-10,North,Electronics,179.94,2,53,2,0,359.88
2022-05-13,North,Clothing,209.99,12,27,5,0,2519.88
2022-05-13,South,Electronics,409.8,10,37,5,0,4098.0
2022-05-16,North,Furniture,352.8,11,45,4,0,3880.8
2022-05-16,East,Electronics,397.46,5,39,3,0,1987.3
2022-05-18,North,Electronics,483.38,8,40,4,0,3867.04
2022-05-20,South,Electronics,309.53,12,25,4,0,3714.3599999999997
2022-05-21,South,Food,256.64,5,67,2,0,1283.1999999999998
2022-05-21,East,Electronics,52.38,1,60,3,0,52.38
2022-05-22,South,Furniture,122.53,4,33,4,0,490.12
2022-05-25,North,Food,245.57,8,27,5,0,1964.56
